part, manf name,  digikey,  farnell,	price,	HvA,	nmb on pcb,	total price,
Hall effect sensor, SI7202-B-04-IBR,	336-5653-1-ND,  n.v.t,	€ 0.85,	1,	1,	€ 0.85,		HvA 1 = niet in voorraad
Terminal Block, CTBP5000/3, n.v.t, 2527548,  € 0.35, 0,  13, € 0.00,  HvA 0 = wel op voorraad
Omron 10-xx,  B3F-1000, SW400-ND, 176432, € 0.226, 0, 13, € 0.00,
1K 0805 R, n.v.t, n.v.t, n.v.t, n.v.t, 0, 13, € 0.00,
10K 0805 R, n.v.t, n.v.t, n.v.t, n.v.t, 0, 13, € 0.00,
100nF 0805 C, n.v.t, n.v.t, n.v.t, n.v.t, 0, 14, € 0.00,
10uF 0805 C, n.v.t, n.v.t, n.v.t, n.v.t, 0, 1, € 0.00,
relais, 2-1462039-6,  PB1163CT-ND,  	2748121,  €3.60 | € 2.71, 1,  1, €3.60 | € 2.71,
LDO, LD1117S33CTR,  497-1241-1-ND, 	1467779,  €0.35 | € 1.53(5), 1,  1, €0.35 | € 1.53,
DC connector, KLDX-0202-B, 2092-KLDX-0202-B-ND, 	2839852, €0.44 | € 8.03(10), 1, 1, €0.44 | € 8.03(10),
1N4007, 1N4007, 1N4007FSCT-ND, 	1458987, €0.15 | € 1.13(5), 0, 3, €0.00,
Xmega HvA module, groote Xmega, n.v.t, n.v.t, n.v.t, 0, 1, n.v.t,
